schema_version,cell_id,dimensions,substrate,arm_id,median_decode_time_sec,p90_decode_time_sec,p99_decode_time_sec,median_end_to_end_time_sec,p90_end_to_end_time_sec,p99_end_to_end_time_sec,same_device_timing
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_majority_vote,0.048227447000005697,0.059619339500002866,0.06442161625001859,0.054083157000007986,0.06224067900001273,0.06702779770000263,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step12_r4_random_restart_selection,0.04841409750000736,0.06878718099999759,0.07265780060001106,0.0519619595000016,0.07233464099999765,0.07977139420001045,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32,0.005502340500004976,0.009001548999997055,0.012074171249999209,0.008840615500016469,0.015768092500000108,0.01632239474999011,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_best_native_reconstruction,0.05070130850000254,0.06144526249998705,0.0633815953499834,0.05300338099998925,0.06531426649998195,0.07043974329997908,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_majority_vote,0.052557080999989125,0.061843865000000164,0.07035701879998868,0.056275038499997265,0.065454495000008,0.0765110296999854,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step32_r4_random_restart_selection,0.04956209250000043,0.06155765049999218,0.0633485811499959,0.052317343999998656,0.06643250749999652,0.07041848939999155,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_step64,0.005575391499995419,0.008481180999993398,0.009754820250007156,0.010815672499980167,0.013078775500012796,0.014798061599992706,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_wallclock_matched_bcf_median,0.03170631549999925,0.035285295500003144,0.03831706475001084,0.035636939000010415,0.038943871000007846,0.0420966871000143,True
level3-2b-map-budget-robustness-dev-v1,u1_easy_sanity,1024,MAP,map_1024_wallclock_matched_bcf_p90,0.040862227500003456,0.04615488950000213,0.04685759724999698,0.04404136350000698,0.05038730799999769,0.05285244589999927,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,BCF,bcf_d512_f3_b4_reference,0.2827130979999879,0.49349266950000015,0.8321621498500348,0.4894934029999689,0.7128852654999775,1.0407189167500603,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12,0.0187921865000078,0.025356309500011776,0.03531661539998936,0.02355281100004447,0.03330282099997817,0.04380507999999991,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step128,0.22914045849998388,0.2493180069999994,0.25797854180000995,0.23493357499998524,0.25640256100003,0.26170195289998477,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_best_native_reconstruction,0.08251271699994334,0.09559099099999457,0.10210159349998235,0.08702995599989549,0.10167401349997363,0.10781951074998232,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_majority_vote,0.08654531500000928,0.09901057299998683,0.10966102080000298,0.09057377550000467,0.10777855699996053,0.11560171130001322,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step12_r4_random_restart_selection,0.08826934650002727,0.09983915300006174,0.1069591346500033,0.0973342794999894,0.10440098450004598,0.11163080664996698,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32,0.05316195050001227,0.06954065100001117,0.07622894085004361,0.05802729700003795,0.07719080050003413,0.08495237734999819,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_best_native_reconstruction,0.2258620814999972,0.23835329399997818,0.24168496215001767,0.23028446899999722,0.24454018300001223,0.24976868459997092,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_majority_vote,0.2351191864999862,0.263664274000007,0.2747240881000209,0.24316460849999544,0.26730009799999266,0.27854061725002166,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step32_r4_random_restart_selection,0.22736387000003333,0.241002707499959,0.24674011125005962,0.23460182699996324,0.24544102199996587,0.2501811311500404,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_step64,0.11146337900001413,0.12800564700000905,0.13284675109999,0.11805822150003564,0.13181842400001642,0.1408678317499806,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_wallclock_matched_bcf_median,0.17182202500001154,0.18091724299999612,0.1884726611000076,0.17565775100001702,0.18988854999996363,0.19491259105001574,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,512,MAP,map_512_wallclock_matched_bcf_p90,0.6210517240000115,0.6312359759998856,0.6315252844998923,0.6286847325000053,0.6348607904999142,0.6371878130999022,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12,0.019981150500015588,0.026919992500012313,0.028158061100013752,0.026029460000017934,0.031811994999998205,0.03679314409999534,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step128,0.2403817474999812,0.26715380949998746,0.28543163279996264,0.24483688600000164,0.2757138509999919,0.29123327419994355,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_best_native_reconstruction,0.08194889350005496,0.09845112950000612,0.10808003240002789,0.0875305600000047,0.10313952399999948,0.11395771760003867,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_majority_vote,0.08284186550002914,0.09827661650001573,0.11411682675000633,0.08668915899997387,0.10291170700003249,0.11970892910003385,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step12_r4_random_restart_selection,0.08306609450005453,0.09864099949999172,0.10579375660002484,0.08809158000002526,0.10429361500001733,0.11256014109996215,True
level3-2b-map-budget-robustness-dev-v1,u1_separation_68,1024,MAP,map_1024_step32,0.05593957199999977,0.06409819700002117,0.06678297825000357,0.060877951000009034,0.06948430500003155,0.0752441144999807,True
